Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GFI1B 20887958 ChIP-Seq HPC-7 Mouse	22/1871	0.0027548641583058212	0.029129301346020566	0	0	1.8813468733297702	11.08938682529592	EIF4A2;DUSP4;MARCKSL1;TPM4;HSPA5;TNFRSF12A;NDUFB3;HMGA1;NDUFC2;NME4;HSPE1;FOSL2;SSFA2;EEF1D;CFL1;MAFF;PIM1;POLR2F;VDAC1;HDGF;IER2;SOX4
OLIG2 26023283 ChIP-Seq AINV15 Mouse	23/2000	0.002899790196524025	0.030167172205774133	0	0	1.8399999999999999	10.75133507876473	ERRFI1;CDV3;HSP90AB1;METRN;YBX1;NEAT1;EEF2;BACH1;F3;KLF3;EREG;FOSL2;PTP4A1;MRPL51;TRAF4;EEF1D;MYC;COTL1;TXNIP;HDGF;SLC38A2;GAPDH;IER2
LXR 22292898 ChIP-Seq THP-1 Human	23/2000	0.002899790196524025	0.029688328202507875	0	0	1.8399999999999999	10.75133507876473	DUSP4;ERRFI1;MARCKSL1;TPM4;HSPA5;ITGA3;LIF;NDUFC2;TXN;NEAT1;COASY;ACTG1;HERPUD1;SSFA2;CLDN4;TRAF4;CFL1;MAFF;AP1S1;PIM3;VDAC1;P4HB;IER2
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	23/2000	0.002899790196524025	0.02922444807434369	0	0	1.8399999999999999	10.75133507876473	HSP90AB1;TPM4;HSPA5;PDCD6;H3F3A;LIF;CNPY2;HSPE1;BACH1;F3;COASY;ACTG1;EEF1B2;PTP4A1;MYC;DDIT3;VDAC1;RICTOR;HDGF;PHLDA1;SLC38A2;GAPDH;AVPI1
MAF 26560356 Chip-Seq TH1 Human	23/2000	0.002899790196524025	0.028774841180892248	0	0	1.8399999999999999	10.75133507876473	DUSP4;PPP1R15A;MARCKSL1;TPM4;LIF;NEAT1;ACTG1;FOSL2;HERPUD1;GPRC5A;DDIT3;TMSB4X;CFL1;PIM1;TXNIP;HDGF;SLC38A2;GAPDH;IER2;S100A11;FTL;AVPI1;HSPA1A
CJUN 26792858 Chip-Seq BT549 Human	23/2000	0.002899790196524025	0.02833885873875752	0	0	1.8399999999999999	10.75133507876473	ERRFI1;HSP90AB1;TPM4;HSPA5;TNFRSF12A;ITGA3;HMGA1;LIF;ARHGAP29;TXN;NEAT1;RND3;EEF1A1;STK17A;DDIT3;PIM1;TXNIP;ABL2;SNRPE;SEC61B;CTNNAL1;SOX4;S100A11
KDM2B 26808549 Chip-Seq DND41 Human	23/2000	0.002899790196524025	0.02791589069788054	0	0	1.8399999999999999	10.75133507876473	CDV3;MARCKSL1;HSP90AB1;METRN;H3F3A;NME4;MIF;YBX1;NEAT1;F3;ACTG1;FOSL2;EEF1A1;PTP4A1;TRAF4;MYC;CFL1;PIM1;PIM3;SLC38A2;GAPDH;IER2;SOX4
KDM2B 26808549 Chip-Seq HPB-ALL Human	23/2000	0.002899790196524025	0.027505362893499946	0	0	1.8399999999999999	10.75133507876473	EIF4A2;CDV3;MARCKSL1;TPM4;H3F3A;HMGA1;PAWR;MIF;YBX1;F3;ACTG1;FOSL2;EEF1A1;PTP4A1;MYC;NDUFS5;PIM1;POLR1D;PIM3;HDGF;SLC38A2;IER2;SOX4
RING1B 27294783 Chip-Seq NPCs Mouse	23/2000	0.002899790196524025	0.027106734445768062	0	0	1.8399999999999999	10.75133507876473	DUSP4;ITGA3;H3F3A;CITED4;HMGA1;ARHGAP29;PAWR;HSPE1;RND3;COASY;ACTG1;FOSL2;MYC;MAFF;PIM1;PIM3;VDAC1;RICTOR;P4HB;PFDN4;PHLDA1;SLC38A2;SOX4
MYBL2 22936984 ChIP-ChIP MESCs Mouse	25/2250	0.0029658992896096407	0.02732864345426026	0	0	1.7777777777777777	10.347688872525865	EIF4A2;HSP90AB1;DDX21;AKAP12;PIM1;AP1S1;SLC38A2;TRAPPC1;TPM4;IMP3;H3F3A;MIF;EEF2;HSPE1;DKK1;COASY;EEF1A1;PTP4A1;MRPL51;NDUFS6;TXNIP;VDAC1;HDGF;HBEGF;HSPA1A
MYCN 18555785 ChIP-Seq MESCs Mouse	25/2261	0.0031651195445315263	0.02875355079187091	0	0	1.7691287041132242	10.182334282733732	EIF4A2;NDUFA13;YBX1;HERPUD1;SSFA2;PPM1G;AKAP12;PIM1;PIM3;SEC61B;PHLDA1;CDV3;TRAPPC1;H3F3A;LIF;DYNLL1;HSPE1;FOSL2;PTP4A1;MRPL51;DDIT3;VDAC1;HDGF;P4HB;AVPI1
MYC 18555785 ChIP-Seq MESCs Mouse	16/1200	0.003312062420377854	0.02967055918255161	0	0	2.1333333333333333	12.181726284595792	NDUFA13;HSP90AB1;AHCY;H3F3A;DDX21;NME4;MIF;EEF2;HSPE1;F3;EEF1B2;EEF1A1;AKAP12;CLDN4;CFL1;SNRPE
TCFAP2C 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	28/2667	0.003654979940176774	0.03229400084128793	0	0	1.6797900262467191	9.42641835022645	ERRFI1;AHCY;YBX1;ACTG1;PPM1G;MYC;PIM1;AP1S1;POLR2F;SLC38A2;CDV3;MARCKSL1;IMP3;ITGA3;H3F3A;HMGA1;LIF;ARHGAP29;NDUFC2;DYNLL1;COASY;PTP4A1;GPRC5A;TRAF4;EEF1D;NDUFS6;HDGF;HBEGF
RUNX1 20887958 ChIP-Seq HPC-7 Mouse	15/1120	0.004271936409813397	0.03723512140986002	0	0	2.142857142857143	11.690760134525007	DUSP4;TPM4;HMGA1;LIF;VAMP8;DDIT3;TMSB4X;COTL1;PIM1;TXNIP;SNRPE;RICTOR;HDGF;SNRNP35;SOX4
KLF4 18358816 ChIP-ChIP MESCs Mouse	20/1700	0.00433452503186405	0.037276915274030833	0	0	1.8823529411764706	10.242151982386934	EIF4A2;TPM4;ITGA3;YBX1;DYNLL1;ACTG1;EEF1A1;FOSL1;AKAP12;CLDN4;GPRC5A;MYC;CFL1;PIM1;TXNIP;SLC25A5;SLC38A2;GAPDH;IER2;HSPA1A
ERG 20887958 ChIP-Seq HPC-7 Mouse	22/1969	0.005091564595421994	0.04321130479009455	0	0	1.7877094972067038	9.439410251654358	DUSP4;MARCKSL1;TRAPPC1;TPM4;HSPA5;IMP3;NDUFC2;EEF2;BACH1;ELL2;COASY;FOSL2;HERPUD1;SSFA2;EEF1B2;TAF1D;MYC;CFL1;MAFF;SEC61B;SNRNP35;PHLDA1
FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human	13/932	0.005563458350456702	0.04660299527330614	0	0	2.2317596566523603	11.58625916942346	H3F3A;NEAT1;DYNLL1;HSPE1;DKK1;MRPL51;PIM1;TXNIP;PIM3;HDGF;PFDN4;HNRNPA1;SOX4
CEBPB 24764292 ChIP-Seq MC3T3 Mouse	22/2000	0.006109999084228343	0.05052499242727283	0	0	1.7599999999999998	8.972178433995813	PPP1R15A;UQCRB;IMP3;H3F3A;CNPY2;MIF;BACH1;ACTG1;RBX1;HERPUD1;VAMP8;MRPL51;EEF1D;MYC;TMSB4X;PIM1;ABL2;SEC61B;SLC25A5;PHLDA1;SOX4;S100A11
KLF5 25053715 ChIP-Seq YYC3 Human	22/2000	0.006109999084228343	0.04988543556110483	0	0	1.7599999999999998	8.972178433995813	PPP1R15A;ITGA3;SH2D3A;TXN;NEAT1;DYNLL1;HSPE1;FOSL2;FOSL1;TRAF4;DDIT3;CFL1;TXNIP;PIM3;VDAC1;C19ORF33;SLC38A2;IER2;SOX4;S100A11;FTL;AVPI1
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	22/2000	0.006109999084228343	0.049261867616591015	0	0	1.7599999999999998	8.972178433995813	ERRFI1;HSP90AB1;TPM4;HSPA5;DYNLT1;LIF;NEAT1;BACH1;ELL2;RND3;FOSL2;EEF1A1;TRAF4;STK17A;DDIT3;AP1S1;HDGF;C19ORF33;P4HB;PHLDA1;SLC38A2;GAPDH
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human	22/2000	0.006109999084228343	0.048653696411447914	0	0	1.7599999999999998	8.972178433995813	DUSP4;PPP1R15A;ERRFI1;MARCKSL1;TPM4;DYNLT1;METRN;CITED4;ARHGAP29;DDX21;YBX1;NEAT1;F3;FOSL2;FOSL1;NDUFS5;HDGF;SOX4;S100A11;FTL;AVPI1;SLC25A6
MAF 26560356 Chip-Seq TH2 Human	22/2000	0.006109999084228343	0.048060358650332695	0	0	1.7599999999999998	8.972178433995813	PPP1R15A;ERRFI1;MARCKSL1;TPM4;TNFRSF12A;METRN;PDCD6;CITED4;LIF;YBX1;EEF2;ACTG1;FOSL2;MRPL51;DDIT3;MAFF;TXNIP;PIM3;SNRPE;GAPDH;S100A11;FTL
KDM2B 26808549 Chip-Seq K562 Human	22/2000	0.006109999084228343	0.04748131818466604	0	0	1.7599999999999998	8.972178433995813	ERRFI1;MARCKSL1;DYNLT1;H3F3A;CITED4;LIF;ARHGAP29;ASAP1;NEAT1;ELL2;ACTG1;FOSL2;PTP4A1;MYC;NDUFS5;PIM1;PIM3;PHLDA1;IER2;SOX4;FTL;HSPA1A
TBP 23326641 ChIP-Seq C3H10T1-2 Mouse	14/1057	0.006321641225932823	0.04854117369912704	0	0	2.1192052980132448	10.731181810625213	ERRFI1;NDUFA13;TNFRSF12A;METRN;EEF2;RND3;COASY;EEF1D;MYC;DDIT3;CFL1;PIM1;GAPDH;IER2
HOXC9 25013753 ChIP-Seq NEUROBLASTOMA BE2-C Human	22/2014	0.0066225601647814545	0.05025354477981221	0	0	1.747765640516385	8.769017798848166	PPP1R15A;NDUFA13;HSP90AB1;AHCY;IMP3;DDX21;NEAT1;EEF2;COX6C;COASY;FOSL2;EEF1B2;TAF1D;CFL1;SNRPE;SNRNP35;PHLDA1;IER2;SOX4;FTL;AVPI1;HSPA1A
FOXM1 23109430 ChIP-Seq U2OS Human	6/267	0.006695054501048929	0.050212908757866964	0	0	3.595505617977528	18.000489561571868	STK17A;PIM1;TXNIP;PIM3;SRSF5;DYNLL1
FUS 26573619 Chip-Seq HEK293 Human	9/543	0.007107704553912879	0.052695051003147204	0	0	2.6519337016574585	13.117991429421638	EEF1A1;MYC;ARHGAP29;PAWR;RICTOR;HSPE1;ELL2;GAPDH;EREG
ASH2L 23239880 ChIP-Seq MESCs Mouse	32/3336	0.00723571023975709	0.05303446709821958	0	0	1.5347721822541964	7.56447271982009	ERRFI1;HSP90AB1;AHCY;UQCRB;RND3;EEF1B2;AKAP12;TAF1D;CFL1;PIM1;ABL2;SNRNP35;PHLDA1;SLC38A2;IER2;SOX4;DUSP4;H3F3A;LIF;PAWR;NDUFC2;COX6C;F3;KLF3;RBX1;EEF1A1;VAMP8;GPRC5A;MAFF;VDAC1;HDGF;FERMT2
FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human	12/863	0.007846295640993093	0.056863603240905	0	0	2.224797219003476	10.785180072709533	DUSP4;STK17A;MYC;H3F3A;LIF;PIM3;SNRPE;ASAP1;RICTOR;PFDN4;FTL;PPM1G
WT1 19549856 ChIP-ChIP CCG9911 Human	5/199	0.008311943685685748	0.05956892974741453	0	0	4.0201005025125625	19.256529850331777	EEF1A1;DDIT3;POLR1D;ELL2;HSPA1A
STAT3 1855785 ChIP-Seq MESCs Mouse	9/572	0.00980667916293254	0.06950887978122514	0	0	2.5174825174825175	11.642580196906007	NDUFA13;CLDN4;MRPL51;MYC;PIM1;POLR2F;VDAC1;COX6C;IER2
EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse	22/2093	0.010226537838921121	0.07169692289243612	0	0	1.68179646440516	7.707285018349909	EIF4A2;DUSP4;HSP90AB1;TPM4;METRN;CITED4;LIF;NDUFC2;RND3;F3;KLF3;RBX1;FOSL2;EEF1A1;TRAF4;PIM1;HDGF;PHLDA1;GAPDH;CTNNAL1;IER2;SOX4
TCF3 18347094 ChIP-ChIP MESCs Mouse	23/2221	0.010234891062871874	0.07098392188765977	0	0	1.6569113012156684	7.59188921608805	EIF4A2;DUSP4;HSP90AB1;AHCY;TPM4;TNFRSF12A;NME4;YBX1;DYNLL1;BACH1;DKK1;ELL2;FOSL2;AKAP12;CLDN4;GPRC5A;NDUFS6;MYC;DDIT3;TMSB4X;PIM1;AP1S1;S100A11
VDR 21846776 ChIP-Seq THP-1 Human	11/794	0.011062140890408134	0.07590511568418347	0	0	2.2166246851385387	9.984180159526241	EEF1A1;MYC;CITED4;PIM3;YBX1;P4HB;NEAT1;SLC38A2;GAPDH;COASY;ACTG1
LMO2 20887958 ChIP-Seq HPC-7 Mouse	19/1741	0.011757625868050242	0.07982809141992006	0	0	1.7461229178632969	7.758466310245654	DUSP4;TRAPPC1;TPM4;HMGA1;PPM1G;EEF1B2;VAMP8;TRAF4;TMSB4X;COTL1;PIM1;TXNIP;SNRPE;RICTOR;HDGF;SNRNP35;PHLDA1;IER2;SOX4
TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse	12/912	0.011827659005358766	0.07946708394225421	0	0	2.1052631578947367	9.341714751262291	HSPA5;TNFRSF12A;NDUFS6;PDCD6;DDIT3;TXNIP;NDUFC2;PIM3;P4HB;HSPE1;HERPUD1;SSFA2
GATA6 25053715 ChIP-Seq YYC3 Human	21/2000	0.012251273921602147	0.08146465648900396	0	0	1.68	7.395570594380951	DUSP4;PPP1R15A;ERRFI1;IMP3;ITGA3;CITED4;PAWR;NDUFC2;NEAT1;HSPE1;DKK1;RND3;HERPUD1;EEF1A1;CLDN4;MYC;POLR1D;PIM3;C19ORF33;S100A11;FTL
FOXA1 21915096 ChIP-Seq LNCaP-1F5 Human	21/2000	0.012251273921602147	0.08063338448401412	0	0	1.68	7.395570594380951	DUSP4;CDV3;IMP3;ITGA3;CITED4;NEAT1;BACH1;ELL2;HERPUD1;SSFA2;AKAP12;CLDN4;STK17A;MYC;PIM1;POLR1D;TXNIP;SNRPE;RICTOR;PHLDA1;SOX4
ETS1 22383799 ChIP-Seq G1ME Mouse	21/2000	0.012251273921602147	0.07981890585286247	0	0	1.68	7.395570594380951	PPP1R15A;HSP90AB1;TPM4;IMP3;NDUFB3;MIF;NEAT1;EEF2;HSPE1;ACTG1;HERPUD1;EEF1A1;PTP4A1;VAMP8;TMSB4X;PIM1;ABL2;SNRPE;VDAC1;IER2;SOX4
RUNX1 22412390 ChIP-Seq EML Mouse	21/2000	0.012251273921602147	0.07902071679433384	0	0	1.68	7.395570594380951	TPM4;TNFRSF12A;CITED4;HMGA1;DDX21;NEAT1;COX6C;ELL2;KLF3;FOSL2;HERPUD1;PTP4A1;VAMP8;TRAF4;MYC;TMSB4X;MAFF;P4HB;SLC25A5;PHLDA1;IER2
SMC1 22415368 ChIP-Seq MEFs Mouse	21/2000	0.012251273921602147	0.07823833345973648	0	0	1.68	7.395570594380951	UQCRB;ITGA3;LIF;PAWR;ASAP1;EEF2;DYNLL1;RND3;F3;COASY;FOSL2;MYC;COTL1;PIM1;PIM3;SNRPE;PHLDA1;GAPDH;SOX4;S100A11;FERMT2
MYB 26560356 Chip-Seq TH2 Human	21/2000	0.012251273921602147	0.0774712909748371	0	0	1.68	7.395570594380951	EIF4A2;PPP1R15A;TPM4;PDCD6;H3F3A;DDX21;CNPY2;NEAT1;RBX1;HERPUD1;GPRC5A;STK17A;DDIT3;NDUFS5;COTL1;PIM1;RICTOR;HNRNPA1;SLC38A2;IER2;SOX4
CREB1 26743006 Chip-Seq LNCaP Human	21/2000	0.012251273921602147	0.07671914251877072	0	0	1.68	7.395570594380951	DUSP4;MARCKSL1;IMP3;H3F3A;ARHGAP29;YBX1;DYNLL1;FOSL2;SSFA2;CLDN4;MYC;NDUFS5;MAFF;TXNIP;C19ORF33;HNRNPA1;SLC38A2;GAPDH;IER2;SOX4;S100A11
CHD1 26751641 Chip-Seq LNCaP Human	21/2000	0.012251273921602147	0.07598145845609024	0	0	1.68	7.395570594380951	ERRFI1;MARCKSL1;AHCY;METRN;HMGA1;PAWR;DDX21;COASY;ACTG1;SSFA2;FOSL1;CLDN4;MYC;CFL1;TXNIP;LUC7L3;HDGF;SLC38A2;SOX4;S100A11;FERMT2
KAP1 27257070 Chip-Seq ESCs Mouse	21/2000	0.012251273921602147	0.07525782551841319	0	0	1.68	7.395570594380951	EIF4A2;NDUFA13;HSP90AB1;NEAT1;EEF2;HSPE1;RND3;KLF3;ACTG1;CLDN4;TRAF4;PIM1;AP1S1;PIM3;SNRPE;HDGF;SLC38A2;GAPDH;IER2;SOX4;AVPI1
RUNX1 27514584 Chip-Seq MCF-7 Human	21/2000	0.012251273921602147	0.07454784603239042	0	0	1.68	7.395570594380951	EIF4A2;HSP90AB1;NDUFB3;NDUFC2;ASAP1;NEAT1;DYNLL1;RND3;FOSL2;CLDN4;TRAF4;MYC;NDUFS5;PIM1;HDGF;PFDN4;HNRNPA1;SLC38A2;IER2;S100A11;AVPI1
TAL1 20566737 ChIP-Seq PRIMARY FETAL LIVER ERYTHROID Mouse	20/1875	0.012352701594390081	0.07446254699422059	0	0	1.7066666666666666	7.498889364904645	DUSP4;NDUFA13;HSPA5;H3F3A;CITED4;LIF;ASAP1;BACH1;ACTG1;EEF1A1;TRAF4;MYC;DDIT3;NDUFS5;PIM1;TXNIP;P4HB;PHLDA1;GAPDH;IER2
TRP63 18441228 ChIP-ChIP KERATINOCYTES Mouse	4/143	0.012471544163597902	0.07448283319926524	0	0	4.475524475524475	19.622067453654925	FOSL1;LIF;CLDN1;PHLDA1
TFEB 21752829 ChIP-Seq HELA Human	11/808	0.012478797367755234	0.0738424247908452	0	0	2.178217821782178	9.548706364340957	EEF1A1;CDV3;NDUFS6;DDIT3;CFL1;MAFF;TXNIP;CNPY2;HDGF;EEF2;RBX1
EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human	51/6207	0.012908869774448503	0.07569291822290258	0	0	1.3146447559207346	5.718495166056145	HSP90AB1;PDCD6;YBX1;BACH1;RND3;ACTG1;AKAP12;MYC;CFL1;COTL1;PIM1;AP1S1;PIM3;PHLDA1;IER2;SOX4;TPM4;TNFRSF12A;DYNLT1;METRN;PAWR;DYNLL1;F3;COASY;RBX1;EEF1A1;PTP4A1;MRPL51;DDIT3;VDAC1;SLC25A5;GAPDH;HBEGF;AVPI1;AHCY;TXN;ABL2;RICTOR;C19ORF33;H3F3A;HMGA1;LIF;ELL2;KLF3;FOSL2;FOSL1;STK17A;MAFF;HDGF;P4HB;HSPA1A
CDX2 20551321 ChIP-Seq CACO-2 Human	8/504	0.013923220344561534	0.08090519929947919	0	0	2.5396825396825395	10.855104264737257	PTP4A1;CLDN4;GPRC5A;MYC;PIM1;VDAC1;SOX4;ACTG1
FOXP3 21729870 ChIP-Seq TREG Human	16/1404	0.014141221657486587	0.081438285438204	0	0	1.8233618233618234	7.765080296240613	HSP90AB1;IMP3;NDUFB3;NDUFC2;COX6C;FOSL2;EEF1A1;TRAF4;EEF1D;POLR1D;TXNIP;SNRPE;HDGF;SEC61B;PFDN4;IER2
TP63 23658742 ChIP-Seq EP156T Human	33/3652	0.015148219305363928	0.08646549957486489	0	0	1.4457831325301203	6.057646686556025	ERRFI1;AHCY;CITED4;ASAP1;TXN;BACH1;RND3;HERPUD1;AKAP12;MYC;C19ORF33;SLC38A2;DUSP4;PAWR;DKK1;ELL2;F3;KLF3;EREG;RBX1;FOSL2;FOSL1;PTP4A1;TRAF4;NDUFS6;STK17A;DDIT3;NDUFS5;POLR1D;FERMT2;FTL;HBEGF;AVPI1
ZFX 18555785 ChIP-Seq MESCs Mouse	30/3249	0.01585133047113263	0.0896851592445662	0	0	1.477377654662973	6.122994409285834	EIF4A2;ERRFI1;HSP90AB1;AHCY;DDX21;ACTG1;PPM1G;CFL1;PIM3;CTNNAL1;IER2;CDV3;MARCKSL1;TPM4;HSPA5;NDUFC2;NME4;EEF2;COX6C;COASY;EEF1A1;PTP4A1;VAMP8;CLDN4;MRPL51;EEF1D;SNRPE;VDAC1;SLC25A5;HBEGF
POU5F1 18692474 ChIP-Seq MESCs Mouse	37/4232	0.016152865402739885	0.09059650595449763	0	0	1.3988657844990549	5.771241563974392	EIF4A2;NDUFA13;AHCY;PDCD6;YBX1;BACH1;RND3;EEF1B2;AKAP12;MYC;CFL1;PIM1;ABL2;PIM3;SLC38A2;IER2;SOX4;HSPA5;LIF;PAWR;MIF;EEF2;COX6C;DKK1;ELL2;KLF3;EEF1A1;CLDN4;MRPL51;NDUFS6;DDIT3;TXNIP;VDAC1;GAPDH;HBEGF;AVPI1;HSPA1A
PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	32/3565	0.01848692409304177	0.10279367275872364	0	0	1.4361851332398317	5.731371950976687	ERRFI1;NDUFB3;ASAP1;BACH1;RND3;PPM1G;MYC;PIM3;SNRNP35;PHLDA1;SLC38A2;IER2;S100A11;DUSP4;TPM4;HSPA5;ITGA3;ARHGAP29;NDUFC2;NEAT1;EEF2;F3;KLF3;FOSL2;FOSL1;VAMP8;CLDN4;DDIT3;MAFF;POLR1D;HDGF;SLC25A5
TCF3 18692474 ChIP-Seq MEFs Mouse	10/745	0.018493683204921306	0.10195235612969437	0	0	2.1476510067114094	8.569827766093448	EIF4A2;CLDN4;MRPL51;MYC;PIM1;NME4;BACH1;DKK1;HBEGF;AVPI1
GATA2 20887958 ChIP-Seq HPC-7 Mouse	18/1708	0.01953740870873953	0.1067934628570932	0	0	1.686182669789227	6.6358441785039455	DUSP4;ERRFI1;TPM4;HSPA5;NEAT1;ELL2;F3;PPM1G;VAMP8;TMSB4X;COTL1;PIM1;TXNIP;RICTOR;HDGF;IER2;SOX4;HSPA1A
POU5F1 18358816 ChIP-ChIP MESCs Mouse	10/753	0.01975634609613505	0.10708271623535383	0	0	2.1248339973439574	8.338444659600219	EEF1B2;NDUFA13;CLDN4;NDUFB3;PIM1;VDAC1;DKK1;GAPDH;AVPI1;HSPA1A
FOXP1 21924763 ChIP-Seq HESCs Human	33/3724	0.019850380639306286	0.10669579593627129	0	0	1.4178302900107411	5.557231328731268	EIF4A2;NDUFA13;HSP90AB1;AHCY;CLDN1;EEF1B2;CFL1;PIM1;SLC38A2;IER2;SOX4;DUSP4;TPM4;TNFRSF12A;METRN;NDUFC2;EEF2;DYNLL1;HSPE1;DKK1;F3;CCNB1IP1;FOSL2;EEF1A1;FOSL1;VAMP8;TRAF4;STK17A;MAFF;TXNIP;SNRPE;HDGF;HSPA1A
SFPI1 20887958 ChIP-Seq HPC-7 Mouse	23/2369	0.020815389194942635	0.11095806636973553	0	0	1.553398058252427	6.014854680696977	EIF4A2;DUSP4;HSPA5;IMP3;NME4;MIF;EEF2;BACH1;COASY;RBX1;FOSL2;SSFA2;EEF1B2;DDIT3;CFL1;MAFF;PIM1;POLR1D;ABL2;VDAC1;RICTOR;SEC61B;IER2
SOX2 18692474 ChIP-Seq MESCs Mouse	30/3319	0.020860572102316868	0.1102874508688064	0	0	1.4462187405845133	5.596713811118163	EIF4A2;HSP90AB1;AHCY;YBX1;BACH1;AKAP12;MYC;PIM1;ABL2;PIM3;SLC38A2;CTNNAL1;IER2;MIF;EEF2;COX6C;DKK1;ELL2;KLF3;COASY;EEF1A1;CLDN4;MRPL51;NDUFS6;TXNIP;VDAC1;P4HB;GAPDH;HBEGF;AVPI1
POU5F1 18347094 ChIP-ChIP MESCs Mouse	21/2109	0.02111066717419293	0.11070227908418244	0	0	1.593172119487909	6.14642109605436	EIF4A2;HSP90AB1;AHCY;ITGA3;CITED4;NDUFB3;YBX1;BACH1;DKK1;ELL2;RND3;EEF1B2;AKAP12;PTP4A1;CLDN4;NDUFS6;MYC;PIM1;ABL2;VDAC1;PHLDA1
ESR1 17901129 ChIP-ChIP LIVER Mouse	7/444	0.02160796965334013	0.11239629376132568	0	0	2.522522522522522	9.673099628242982	EEF1B2;AHCY;DDIT3;PIM1;PAWR;PIM3;EEF2
NANOG 18692474 ChIP-Seq MEFs Mouse	20/1989	0.022153975027243675	0.11431451114057736	0	0	1.6088486676721971	6.129292451077207	EIF4A2;YBX1;BACH1;DKK1;RND3;KLF3;COASY;EEF1A1;CLDN4;MRPL51;MYC;TMSB4X;PIM1;VDAC1;HDGF;GAPDH;CTNNAL1;IER2;SOX4;AVPI1
NFI 21473784 ChIP-Seq ESCs Mouse	20/2000	0.023352743835500712	0.11954380772934887	0	0	1.5999999999999999	6.011265268409367	NDUFA13;H3F3A;CITED4;HMGA1;NDUFC2;ASAP1;DKK1;RND3;F3;KLF3;EREG;SSFA2;FOSL1;PTP4A1;VAMP8;CLDN4;TMSB4X;ABL2;RICTOR;IER2
GATA1 22383799 ChIP-Seq G1ME Mouse	20/2000	0.023352743835500712	0.11860251790470834	0	0	1.5999999999999999	6.011265268409367	PPP1R15A;TPM4;CITED4;NDUFB3;HMGA1;CNPY2;ASAP1;NEAT1;HSPE1;BACH1;ELL2;KLF3;SSFA2;VAMP8;DDIT3;TMSB4X;SNRPE;RICTOR;P4HB;SOX4
GATA4 25053715 ChIP-Seq YYC3 Human	20/2000	0.023352743835500712	0.1176759357335778	0	0	1.5999999999999999	6.011265268409367	PPP1R15A;ERRFI1;AHCY;DYNLT1;CITED4;HSPE1;CLDN1;DKK1;F3;SSFA2;CLDN4;GPRC5A;STK17A;MYC;COTL1;SNRPE;RICTOR;SLC38A2;S100A11;FTL
CREB1 26743006 Chip-Seq LNCaP-abl Human	20/2000	0.023352743835500712	0.11676371917750356	0	0	1.5999999999999999	6.011265268409367	DUSP4;ERRFI1;CDV3;IMP3;H3F3A;ARHGAP29;NDUFC2;MIF;TXN;YBX1;NEAT1;CLDN4;CFL1;AP1S1;HNRNPA1;SLC38A2;CTNNAL1;IER2;S100A11;FTL
FLI1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	20/2000	0.023352743835500712	0.115865536722292	0	0	1.5999999999999999	6.011265268409367	EIF4A2;DUSP4;MARCKSL1;METRN;CNPY2;ASAP1;YBX1;NEAT1;BACH1;F3;ACTG1;PPM1G;FOSL1;MRPL51;GPRC5A;TRAF4;NDUFS6;CFL1;P4HB;HBEGF
P300 27058665 Chip-Seq ZR-75-30cells Human	20/2000	0.023352743835500712	0.1149810669763203	0	0	1.5999999999999999	6.011265268409367	ERRFI1;MARCKSL1;TPM4;HSPA5;DYNLT1;METRN;CITED4;HMGA1;ARHGAP29;CNPY2;YBX1;NEAT1;RND3;F3;ABL2;SNRPE;HDGF;HNRNPA1;SLC38A2;AVPI1
MYCN 27167114 Chip-Seq NEUROBLASTOMA Human	20/2000	0.023352743835500712	0.11410999828710575	0	0	1.5999999999999999	6.011265268409367	ERRFI1;MARCKSL1;HSP90AB1;UQCRB;H3F3A;PAWR;MIF;YBX1;ACTG1;RBX1;EEF1A1;PTP4A1;COTL1;PIM1;TXNIP;PHLDA1;GAPDH;IER2;FERMT2;AVPI1
SOX9 24532713 ChIP-Seq HFSC Mouse	15/1384	0.025920641072871915	0.1257053646015217	0	0	1.7341040462427744	6.334189031885938	EIF4A2;CDV3;IMP3;PAWR;ASAP1;DYNLL1;BACH1;CLDN1;FOSL2;SSFA2;MAFF;TXNIP;ABL2;VDAC1;HSPA1A
SOX2 20726797 ChIP-Seq SW620 Human	24/2564	0.027064602340882236	0.13027364559603763	0	0	1.497659906396256	5.405846252608081	DUSP4;ERRFI1;HSPA5;TNFRSF12A;ITGA3;PDCD6;NME4;CLDN1;ELL2;RND3;AREG;CCNB1IP1;EREG;AKAP12;CLDN4;GPRC5A;TRAF4;DDIT3;POLR1D;C19ORF33;PHLDA1;SLC38A2;HBEGF;HSPA1A
